report_month,ticker,revenue_ttm_bn_vnd,net_income_ttm_bn_vnd,eps_ttm_vnd,roe_pct,gross_margin_pct,debt_to_equity,current_ratio,cash_ratio,inventory_ratio_pct,receivable_days,interest_coverage,operating_cashflow_bn_vnd,pre_sales_bn_vnd,backlog_bn_vnd,legal_issue_flag,bond_pressure_flag,project_handover_score,macro_sentiment_idx,mortgage_rate_pct,financing_access_idx,policy_support_idx
2023-10-31 0:00:00,IEY,1492.6,292.0,625,3.1,25.8,0.58,1.63,0.5,11.5,43.0,14.93,250.5,415.1,842.5,0,0,73.4,52.0,8.88,50.2,49.0
2023-11-30 0:00:00,IEY,1452.5,308.1,660,3.3,28.0,0.56,1.85,0.45,18.0,43.6,16.44,280.5,384.3,1153.1,0,0,73.3,51.4,8.84,51.9,45.4
2023-12-31 0:00:00,IEY,1525.7,302.6,648,3.2,25.9,0.52,1.84,0.46,14.3,42.3,16.45,343.9,397.4,767.5,0,0,64.5,53.0,8.61,53.7,53.7
2024-01-31 0:00:00,IEY,1507.5,311.3,667,3.3,27.5,0.4,1.38,0.57,13.9,45.5,18.0,367.4,483.3,1476.1,0,0,73.6,54.4,8.81,53.3,53.8
2024-02-29 0:00:00,IEY,1493.0,299.9,642,3.2,26.5,0.51,1.77,0.51,8.0,32.0,18.0,273.0,413.6,956.4,0,0,79.4,56.2,8.84,54.6,47.2
2024-03-31 0:00:00,IEY,1459.4,296.2,634,3.2,28.7,0.51,1.61,0.57,21.2,62.8,18.0,151.7,398.4,571.2,0,0,56.2,53.6,8.91,54.6,63.8
2024-04-30 0:00:00,IEY,1529.5,318.2,681,3.4,27.7,0.53,1.67,0.53,19.3,39.1,17.89,258.9,539.3,1270.5,0,0,79.7,53.9,8.89,56.1,63.5
2024-05-31 0:00:00,IEY,1529.2,344.0,737,3.7,27.4,0.39,1.68,0.5,18.3,63.5,18.0,303.3,518.2,789.1,1,0,60.5,62.7,8.85,56.2,59.0
2024-06-30 0:00:00,IEY,1517.0,308.1,660,3.3,28.8,0.5,1.69,0.45,10.3,42.2,18.0,293.7,502.9,1567.4,0,0,70.7,57.5,8.7,57.0,60.0
2024-07-31 0:00:00,IEY,1536.7,312.8,670,3.3,28.9,0.31,1.91,0.53,9.5,42.4,18.0,331.3,471.3,1316.5,0,0,63.6,62.1,8.59,62.3,62.5
2024-08-31 0:00:00,IEY,1579.7,379.1,812,4.0,30.4,0.26,1.76,0.5,13.9,35.9,18.0,356.6,455.7,1127.5,0,0,74.5,63.5,8.59,60.1,58.4
2024-09-30 0:00:00,IEY,1576.7,368.3,789,3.9,27.9,0.25,1.92,0.46,13.0,48.1,18.0,294.7,434.0,875.5,0,0,61.6,58.3,8.55,60.6,62.2
2024-10-31 0:00:00,IEY,1568.4,376.4,806,4.0,30.4,0.46,1.8,0.47,18.4,39.5,18.0,197.8,419.7,896.1,0,0,73.2,58.0,8.31,56.2,53.2
2024-11-30 0:00:00,IEY,1534.8,368.4,789,3.9,29.9,0.49,1.63,0.55,15.1,36.5,18.0,225.2,514.0,1114.2,0,0,65.3,61.7,8.51,59.5,50.7
2024-12-31 0:00:00,IEY,1581.2,309.2,662,3.3,29.0,0.43,1.66,0.55,20.0,30.2,18.0,302.1,383.7,987.8,0,0,83.7,61.7,8.33,64.1,54.7
2025-01-31 0:00:00,IEY,1641.6,315.0,674,3.4,29.0,0.51,1.6,0.56,15.3,47.3,18.0,216.1,495.6,1561.2,0,0,76.1,62.2,8.24,61.8,64.8
2025-02-28 0:00:00,IEY,1687.7,405.0,867,4.3,29.0,0.47,1.9,0.54,20.8,39.2,18.0,346.2,521.3,1523.2,0,0,71.5,63.6,8.13,62.6,58.0
2025-03-31 0:00:00,IEY,1632.6,381.4,817,4.1,29.4,0.39,1.64,0.59,19.9,40.4,18.0,258.7,501.4,812.4,0,0,63.1,65.5,7.99,62.1,62.9
2025-04-30 0:00:00,IEY,1612.4,342.4,733,3.6,28.9,0.38,1.5,0.56,12.1,38.3,18.0,238.9,391.6,1105.2,0,0,77.8,62.8,8.1,60.6,56.6
2025-05-31 0:00:00,IEY,1606.8,360.3,771,3.8,29.8,0.32,1.51,0.57,26.0,43.3,18.0,301.1,505.2,1292.1,0,0,67.0,63.7,8.01,62.6,56.2
2025-06-30 0:00:00,IEY,1652.3,356.3,763,3.8,29.9,0.49,1.72,0.55,15.1,56.2,18.0,282.0,555.8,1539.4,0,0,74.5,66.2,8.01,61.2,58.9
2025-07-31 0:00:00,IEY,1698.8,336.2,720,3.6,29.2,0.33,1.82,0.47,12.2,45.0,18.0,301.7,518.0,1172.9,0,0,78.4,67.8,8.13,62.1,64.5
2025-08-31 0:00:00,IEY,1639.8,393.6,843,4.2,30.6,0.34,1.64,0.55,18.3,28.5,18.0,431.3,498.0,1602.8,1,0,80.1,61.2,8.1,66.3,62.7
2025-09-30 0:00:00,IEY,1635.5,366.2,784,3.9,31.7,0.3,1.93,0.52,19.0,56.3,18.0,239.7,415.3,1239.3,1,0,69.3,65.9,8.14,64.6,52.0
2025-10-31 0:00:00,IEY,1659.7,398.3,853,4.2,28.9,0.29,1.68,0.53,17.9,33.3,18.0,329.0,582.5,1103.1,0,0,75.0,62.8,8.12,62.0,68.6
2025-11-30 0:00:00,IEY,1765.7,406.8,871,4.3,28.2,0.35,1.5,0.53,22.5,23.6,18.0,405.9,496.2,1500.8,0,0,78.5,65.9,7.95,61.2,48.3
2025-12-31 0:00:00,IEY,1764.1,389.6,834,4.1,30.1,0.48,1.74,0.38,19.1,37.1,18.0,284.3,593.9,1655.2,0,0,73.2,66.4,8.08,63.0,67.4
2021-01-31 0:00:00,IGK,5437.3,662.5,295,2.3,16.8,1.56,1.35,0.35,48.0,51.8,3.58,487.4,4358.5,10466.0,1,0,79.9,63.2,8.7,60.1,50.3
2021-02-28 0:00:00,IGK,5668.5,298.0,133,1.0,14.6,1.5,1.39,0.45,40.6,40.9,3.34,257.0,5270.5,10487.9,1,0,76.1,63.9,8.79,63.2,53.8
2021-03-31 0:00:00,IGK,5635.7,626.9,279,2.2,17.9,1.45,1.59,0.47,44.0,55.0,3.97,196.7,4668.9,8797.5,0,0,74.4,68.5,8.85,57.0,45.0
2021-04-30 0:00:00,IGK,5750.0,523.6,233,1.8,15.9,1.61,1.41,0.48,44.6,51.0,2.89,328.7,5596.6,14081.2,0,0,70.0,70.5,8.89,56.4,48.3
2021-05-31 0:00:00,IGK,5749.2,561.2,250,1.9,16.7,1.54,1.54,0.35,39.8,50.8,3.27,309.1,4542.6,5730.6,0,0,76.3,63.1,8.9,63.6,46.6
2021-06-30 0:00:00,IGK,5892.3,525.1,234,1.8,16.8,1.53,1.31,0.55,38.8,61.8,4.43,246.4,4419.3,8686.3,0,0,73.0,62.8,8.87,63.1,59.2
2021-07-31 0:00:00,IGK,5884.7,338.7,151,1.2,13.0,1.46,1.61,0.48,41.5,65.5,4.07,356.5,4859.5,11908.8,0,0,72.3,58.1,8.82,62.8,42.6
2021-08-31 0:00:00,IGK,5809.7,400.7,178,1.4,14.4,1.46,1.52,0.45,35.5,49.8,2.41,408.5,3801.4,4860.7,0,0,68.4,58.3,8.74,60.5,47.2
2021-09-30 0:00:00,IGK,5876.0,493.1,219,1.7,13.5,1.61,1.43,0.39,42.1,59.4,2.73,166.0,4326.0,12497.5,0,0,72.1,55.0,8.64,58.9,51.1
2021-10-31 0:00:00,IGK,5831.8,450.3,200,1.6,14.9,1.55,1.36,0.45,40.3,69.3,3.22,144.3,3645.5,6296.6,0,0,82.6,57.9,8.54,62.6,42.1
2021-11-30 0:00:00,IGK,5774.1,398.7,177,1.4,14.5,1.61,1.33,0.4,42.4,60.7,3.96,124.3,5153.9,11636.7,0,0,80.1,58.3,8.45,63.5,40.6
2021-12-31 0:00:00,IGK,5754.6,577.0,257,2.0,15.9,1.55,1.59,0.48,37.9,59.6,3.18,446.6,3516.1,7231.0,0,0,72.3,59.9,8.37,63.8,51.4
2022-01-31 0:00:00,IGK,5632.4,374.3,166,1.3,15.0,1.47,1.74,0.42,45.6,56.5,3.37,147.8,4212.0,10717.3,0,0,63.5,56.0,9.39,57.2,53.3
2022-02-28 0:00:00,IGK,5546.2,284.4,127,1.0,12.4,1.66,1.61,0.4,50.6,60.9,3.6,200.7,4848.5,8099.5,0,0,68.7,60.8,9.33,52.8,52.1
2022-03-31 0:00:00,IGK,5658.3,38.4,17,0.1,10.6,1.82,1.35,0.27,48.7,65.8,2.54,-140.4,5478.5,12969.7,1,0,70.5,54.1,9.45,51.0,61.5
2022-04-30 0:00:00,IGK,5824.4,282.4,126,1.0,11.5,1.66,1.45,0.43,40.2,51.4,2.53,78.4,4474.3,10718.1,0,0,78.1,52.8,9.58,54.7,49.5
2022-05-31 0:00:00,IGK,5678.1,312.2,139,1.1,11.4,1.62,1.39,0.41,46.8,68.6,3.48,207.9,4759.3,7539.2,0,0,68.9,50.4,9.86,48.0,51.8
2022-06-30 0:00:00,IGK,5738.9,201.8,90,0.7,12.8,1.88,1.39,0.37,46.5,85.6,1.59,40.0,4906.8,11452.9,1,1,72.2,54.8,10.0,49.1,47.5
2022-07-31 0:00:00,IGK,5528.0,49.3,22,0.2,10.8,1.71,1.5,0.32,41.8,70.8,2.87,-42.2,4650.7,11254.8,0,0,82.5,48.0,10.07,47.9,54.6
2022-08-31 0:00:00,IGK,5476.3,397.5,177,1.4,11.7,1.77,1.4,0.4,45.5,59.8,1.56,227.6,4058.5,5662.3,0,0,73.3,43.7,10.34,46.7,51.9
2022-09-30 0:00:00,IGK,5528.7,328.2,146,1.1,11.3,1.73,1.48,0.37,46.4,62.9,2.46,120.3,4287.7,8403.3,1,0,68.4,44.2,10.53,49.5,54.8
2022-10-31 0:00:00,IGK,5601.3,236.7,105,0.8,10.6,1.69,1.46,0.42,44.6,76.6,2.27,13.0,4116.4,9868.5,0,0,67.9,42.2,10.63,46.2,42.0
2022-11-30 0:00:00,IGK,5442.9,280.5,125,1.0,11.5,1.76,1.44,0.32,42.8,63.5,1.23,130.8,4401.8,8100.6,0,0,76.2,44.9,10.74,45.4,50.9
2022-12-31 0:00:00,IGK,5210.7,360.0,160,1.2,11.5,1.65,1.25,0.33,42.5,59.7,1.22,206.0,3262.0,5144.0,0,0,70.9,44.7,11.0,45.9,35.7
2023-01-31 0:00:00,IGK,5274.8,351.9,157,1.2,11.7,1.75,1.33,0.38,46.1,81.9,1.79,228.0,3823.1,8852.8,0,0,77.7,43.3,10.48,39.5,50.5
2023-02-28 0:00:00,IGK,5311.7,255.2,114,0.9,9.2,1.59,1.35,0.33,41.8,68.2,0.76,-16.4,3780.5,8570.9,0,0,68.7,47.4,10.21,44.5,45.4
2023-03-31 0:00:00,IGK,5058.9,190.8,85,0.7,10.8,1.75,1.43,0.32,40.3,78.7,2.2,-23.5,4087.4,8627.0,1,0,69.4,43.8,10.29,43.6,52.3
2023-04-30 0:00:00,IGK,5065.9,138.5,62,0.5,12.1,1.73,1.45,0.23,44.9,67.6,1.67,61.6,4004.1,10249.7,1,0,60.1,41.8,10.15,46.8,49.1
2023-05-31 0:00:00,IGK,5265.7,350.5,156,1.2,13.0,1.64,1.55,0.32,48.8,57.9,1.83,104.4,3853.4,5728.9,0,0,68.1,47.9,9.64,48.8,48.4
2023-06-30 0:00:00,IGK,5678.3,145.9,65,0.5,12.2,1.78,1.46,0.39,47.5,62.4,1.93,29.5,3998.7,7988.5,0,1,78.1,46.8,9.55,46.1,53.5
2023-07-31 0:00:00,IGK,5533.4,169.4,75,0.6,12.4,1.7,1.45,0.41,45.2,64.1,2.23,-44.7,4166.0,8789.4,0,1,71.9,48.5,9.49,48.1,52.6
2023-08-31 0:00:00,IGK,5742.4,315.3,140,1.1,12.1,1.85,1.35,0.37,45.6,74.9,1.45,201.0,4313.5,12131.7,0,0,62.5,47.6,9.46,45.8,56.3
2023-09-30 0:00:00,IGK,5740.4,437.3,195,1.5,12.8,1.45,1.55,0.35,42.1,56.1,3.19,325.4,4490.0,8131.5,1,1,68.1,52.2,8.97,54.3,55.0
2023-10-31 0:00:00,IGK,5876.4,315.5,140,1.1,14.5,1.69,1.42,0.4,44.9,56.4,1.61,249.5,4301.5,7661.9,0,0,65.3,52.0,8.88,50.2,49.0
2023-11-30 0:00:00,IGK,5940.2,153.9,68,0.5,11.2,1.72,1.25,0.32,47.5,80.9,2.57,67.4,4543.5,12257.2,0,0,69.4,51.4,8.84,51.9,45.4
2023-12-31 0:00:00,IGK,5851.5,356.7,159,1.2,13.8,1.62,1.79,0.41,46.3,62.9,4.33,217.7,4907.6,14327.3,0,0,72.2,53.0,8.61,53.7,53.7
2024-01-31 0:00:00,IGK,6091.2,362.0,161,1.3,12.8,1.64,1.58,0.38,43.5,66.7,2.18,72.6,4764.0,9791.1,0,0,75.9,54.4,8.81,53.3,53.8
2024-02-29 0:00:00,IGK,5942.7,281.0,125,1.0,11.7,1.51,1.54,0.51,46.8,43.0,3.72,145.0,5169.1,9499.6,0,0,74.9,56.2,8.84,54.6,47.2
2024-03-31 0:00:00,IGK,5815.3,259.7,116,0.9,13.7,1.7,1.55,0.44,47.6,60.3,2.76,109.3,4431.3,7868.4,0,0,73.0,53.6,8.91,54.6,63.8
2024-04-30 0:00:00,IGK,5916.1,245.0,109,0.8,13.3,1.71,1.47,0.47,44.4,69.0,3.03,89.1,4148.0,10842.1,0,0,78.0,53.9,8.89,56.1,63.5
2024-05-31 0:00:00,IGK,5866.7,538.3,239,1.9,13.5,1.66,1.42,0.32,41.8,69.9,3.02,470.0,4237.0,9715.4,0,0,70.5,62.7,8.85,56.2,59.0
2024-06-30 0:00:00,IGK,5977.8,369.6,164,1.3,13.7,1.53,1.46,0.43,41.1,51.8,4.26,167.3,5302.0,12013.6,0,0,64.5,57.5,8.7,57.0,60.0
2024-07-31 0:00:00,IGK,6023.1,404.1,180,1.4,15.3,1.48,1.36,0.42,46.8,67.8,4.03,165.5,4398.7,7826.8,0,0,76.3,62.1,8.59,62.3,62.5
2024-08-31 0:00:00,IGK,6425.4,399.8,178,1.4,13.0,1.61,1.73,0.41,44.8,57.9,4.31,115.7,4827.2,8483.9,0,0,71.3,63.5,8.59,60.1,58.4
2024-09-30 0:00:00,IGK,6196.1,673.7,300,2.3,15.5,1.42,1.81,0.36,47.1,55.8,4.27,418.1,4177.9,5911.1,0,1,75.5,58.3,8.55,60.6,62.2
2024-10-31 0:00:00,IGK,6174.8,299.6,133,1.0,13.2,1.64,1.39,0.35,48.7,56.9,4.3,135.1,4997.4,13449.9,0,0,75.9,58.0,8.31,56.2,53.2
2024-11-30 0:00:00,IGK,6275.0,434.5,193,1.5,12.7,1.59,1.68,0.41,39.7,53.6,1.46,426.3,5925.7,9130.8,0,0,80.2,61.7,8.51,59.5,50.7
2024-12-31 0:00:00,IGK,6446.8,329.4,147,1.1,14.4,1.46,1.57,0.41,43.1,52.1,2.04,155.6,5334.6,10884.2,0,0,74.5,61.7,8.33,64.1,54.7
2025-01-31 0:00:00,IGK,6280.3,530.0,236,1.8,14.6,1.5,1.58,0.43,40.4,46.2,3.46,302.6,4578.0,11861.5,0,0,75.9,62.2,8.24,61.8,64.8
2025-02-28 0:00:00,IGK,6074.5,516.2,230,1.8,13.3,1.46,1.41,0.39,39.3,58.4,2.86,362.4,4996.7,11015.1,0,0,74.4,63.6,8.13,62.6,58.0
2025-03-31 0:00:00,IGK,6023.8,444.1,198,1.5,15.4,1.59,1.58,0.46,45.2,53.6,4.34,232.6,5227.0,10368.7,0,0,67.2,65.5,7.99,62.1,62.9
2025-04-30 0:00:00,IGK,5994.8,474.7,211,1.6,14.0,1.51,1.41,0.33,44.2,77.6,2.8,234.7,4161.1,7271.7,0,0,69.9,62.8,8.1,60.6,56.6
2025-05-31 0:00:00,IGK,6190.6,610.1,271,2.1,15.3,1.44,1.47,0.47,43.1,58.9,3.49,531.2,5795.2,9441.7,1,0,76.1,63.7,8.01,62.6,56.2
2025-06-30 0:00:00,IGK,6494.8,462.7,206,1.6,15.1,1.59,1.53,0.32,38.7,65.7,4.61,61.1,4862.8,9494.5,0,0,68.6,66.2,8.01,61.2,58.9
2025-07-31 0:00:00,IGK,6997.4,338.6,151,1.2,14.4,1.42,1.52,0.42,39.4,52.7,3.64,133.4,6620.4,15236.9,0,0,71.0,67.8,8.13,62.1,64.5
2025-08-31 0:00:00,IGK,6777.0,469.3,209,1.6,14.3,1.45,1.72,0.42,45.4,62.2,3.23,254.4,5465.5,9685.2,0,0,73.0,61.2,8.1,66.3,62.7
2025-09-30 0:00:00,IGK,6721.4,729.1,324,2.5,15.9,1.55,1.47,0.42,37.2,52.5,3.65,416.2,6775.4,11535.6,1,0,88.0,65.9,8.14,64.6,52.0
2025-10-31 0:00:00,IGK,6490.0,265.1,118,0.9,13.3,1.4,1.48,0.45,37.7,60.2,2.23,128.0,6293.9,14202.7,0,0,81.6,62.8,8.12,62.0,68.6
2025-11-30 0:00:00,IGK,6217.7,539.3,240,1.9,13.8,1.59,1.33,0.43,40.3,66.2,3.14,221.2,5942.5,8033.6,1,0,69.1,65.9,7.95,61.2,48.3
2025-12-31 0:00:00,IGK,6101.6,231.2,103,0.8,13.8,1.41,1.45,0.45,44.2,59.3,2.04,86.3,5087.3,7223.1,0,0,65.3,66.4,8.08,63.0,67.4
2021-01-31 0:00:00,ILZ,488.1,51.1,370,1.6,14.7,1.15,1.43,0.49,42.0,62.6,4.9,26.6,349.8,583.0,0,0,68.5,63.2,8.7,60.1,50.3
2021-02-28 0:00:00,ILZ,490.7,35.7,259,1.1,14.6,1.21,1.47,0.49,46.3,53.5,5.07,5.6,330.7,852.9,0,0,78.3,63.9,8.79,63.2,53.8
2021-03-31 0:00:00,ILZ,480.7,38.3,277,1.2,17.1,1.08,1.62,0.43,41.2,50.6,4.45,30.2,372.6,582.6,0,0,65.3,68.5,8.85,57.0,45.0
2021-04-30 0:00:00,ILZ,493.1,47.7,346,1.5,16.1,1.22,1.49,0.37,39.2,52.3,3.51,25.7,451.4,1145.5,0,0,57.8,70.5,8.89,56.4,48.3
2021-05-31 0:00:00,ILZ,476.9,42.4,307,1.3,14.8,0.98,1.64,0.59,47.0,51.2,4.77,15.1,416.8,936.3,0,0,65.5,63.1,8.9,63.6,46.6
2021-06-30 0:00:00,ILZ,470.6,42.2,305,1.3,14.6,1.09,1.42,0.39,38.9,46.2,3.94,19.2,416.9,1170.7,0,0,61.2,62.8,8.87,63.1,59.2
2021-07-31 0:00:00,ILZ,451.3,42.4,307,1.3,13.5,1.08,1.58,0.4,38.6,52.9,4.05,25.4,343.2,461.3,1,0,63.4,58.1,8.82,62.8,42.6
2021-08-31 0:00:00,ILZ,453.2,42.1,305,1.3,13.7,1.11,1.49,0.43,42.6,58.6,3.47,25.9,363.1,865.0,0,0,63.1,58.3,8.74,60.5,47.2
2021-09-30 0:00:00,ILZ,439.8,18.4,133,0.6,14.1,1.09,1.58,0.44,45.6,55.9,3.66,14.5,287.3,822.3,1,0,64.4,55.0,8.64,58.9,51.1
2021-10-31 0:00:00,ILZ,449.3,21.3,154,0.7,14.1,1.08,1.49,0.56,40.8,60.4,2.42,16.4,407.9,1046.9,0,0,67.4,57.9,8.54,62.6,42.1
2021-11-30 0:00:00,ILZ,439.5,36.5,264,1.1,12.7,1.03,1.48,0.49,44.6,53.0,4.95,29.8,344.0,571.4,0,0,59.4,58.3,8.45,63.5,40.6
2021-12-31 0:00:00,ILZ,441.4,19.2,139,0.6,13.6,1.11,1.56,0.48,40.7,65.0,2.61,1.1,363.8,916.1,0,0,61.6,59.9,8.37,63.8,51.4
2022-01-31 0:00:00,ILZ,468.2,30.7,222,0.9,13.4,1.23,1.38,0.47,37.3,55.1,3.86,19.2,329.5,811.6,0,0,70.4,56.0,9.39,57.2,53.3
2022-02-28 0:00:00,ILZ,469.8,22.9,166,0.7,13.1,1.02,1.57,0.38,50.2,58.9,4.56,-3.0,401.4,1142.8,1,0,70.0,60.8,9.33,52.8,52.1
2022-03-31 0:00:00,ILZ,444.5,21.8,158,0.7,13.0,1.05,1.31,0.47,49.4,71.1,3.94,0.1,348.5,779.4,0,0,64.2,54.1,9.45,51.0,61.5
2022-04-30 0:00:00,ILZ,457.2,12.2,88,0.4,11.6,1.31,1.58,0.59,37.8,52.6,3.29,0.3,368.9,943.8,0,0,71.0,52.8,9.58,54.7,49.5
2022-05-31 0:00:00,ILZ,443.4,34.1,247,1.1,12.5,1.23,1.4,0.37,39.4,63.3,3.34,18.6,345.3,937.2,1,0,62.4,50.4,9.86,48.0,51.8
2022-06-30 0:00:00,ILZ,451.0,18.2,131,0.6,12.0,1.35,1.62,0.39,45.0,55.6,2.58,1.1,326.7,579.5,0,0,56.4,54.8,10.0,49.1,47.5
2022-07-31 0:00:00,ILZ,427.6,13.9,101,0.4,10.1,1.21,1.2,0.46,40.4,58.3,4.13,5.7,297.2,484.9,0,0,61.3,48.0,10.07,47.9,54.6
